Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.387873649597168,2.480050802230835,5.447588126159559,0.05941770647653044,7.384417956993902
1,2.3907523155212402,4.947961807250977,5.447588126159559,0.05941770647653044,7.4121122715690735
2,2.6295862197875977,7.6377387046813965,5.447588126159559,0.05941770647653044,7.400895877582874
3,2.617015838623047,10.35951828956604,5.447588126159559,0.05941770647653044,7.386238487898379
4,2.313645124435425,12.774689435958862,5.447588126159559,0.05941770647653044,7.385413499652004
5,1.9294345378875732,14.780892372131348,5.447588126159559,0.05941770647653044,7.392407706479225
6,2.36847186088562,17.229607582092285,5.447588126159559,0.05941770647653044,7.386466502614402
7,2.5734641551971436,19.866673707962036,5.447588126159559,0.05941770647653044,7.453083562387809
8,2.4148552417755127,22.360086679458618,5.447588126159559,0.05941770647653044,7.43484426261052
9,2.320791006088257,24.753987312316895,5.447588126159559,0.05941770647653044,7.441009933680279
