Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.9241604804992676,2.973534107208252,17.13589981447123,1.3666072489601895,5.74630772546833
1,2.9132678508758545,5.945569276809692,17.13589981447123,1.3666072489601895,5.73305243612624
2,3.2242462635040283,9.230789184570312,17.13589981447123,1.3666072489601895,5.7211704459802615
3,3.3272008895874023,12.626735925674438,17.13589981447123,1.3666072489601895,5.7402458566528995
4,2.93249773979187,15.647494792938232,17.13589981447123,1.1289364230540713,5.605509237555225
5,2.922534942626953,18.656206607818604,,,
6,2.9453322887420654,21.69230341911316,17.13589981447123,1.2477718360071322,5.636651102031925
7,2.922776937484741,24.681556701660156,0.43831168831167133,0.6535947712418313,5.923623070017094
8,2.792067766189575,27.534032106399536,17.13589981447123,1.2477718360071322,5.526407566614872
9,3.2143912315368652,30.7997567653656,17.13589981447123,1.1289364230540713,5.563955549054242
