Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.665471315383911,2.7304999828338623,17.13589981447123,1.3666072489601895,5.74630772546833
1,2.5251145362854004,5.30287766456604,17.13589981447123,1.3666072489601895,5.73305243612624
2,2.334584951400757,7.6871302127838135,17.13589981447123,1.3666072489601895,5.7211704459802615
3,2.5038390159606934,10.258698463439941,17.13589981447123,1.3666072489601895,5.7402458566528995
4,2.369253396987915,12.712901592254639,17.13589981447123,1.1289364230540713,5.605509237555225
5,2.366793155670166,15.132181406021118,,,
6,2.340513229370117,17.53195309638977,17.13589981447123,1.2477718360071322,5.636651102031925
7,2.8436381816864014,20.42194175720215,17.13589981447123,-1.2477718360071304,5.736411519770678
8,2.4910435676574707,23.009992122650146,17.13589981447123,-1.1289364230540695,5.416802151396816
9,2.718385934829712,25.789066553115845,17.13589981447123,1.1289364230540713,5.563955549054242
