Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,0.04886269569396973,0.10164022445678711,17.13589981447123,1.3666072489601895,5.234586417257685
1,0.03989982604980469,0.1886425018310547,17.13589981447123,1.3666072489601895,5.162967287893132
2,0.0374150276184082,0.26778483390808105,16.801948051948045,1.3666072489601895,5.132796752720914
3,0.03605794906616211,0.36393284797668457,17.13589981447123,1.3666072489601895,5.165023554980893
4,0.04146289825439453,0.45091938972473145,1.4401669758812545,0.05941770647653044,7.146105100725868
5,0.037502288818359375,0.5453593730926514,17.13589981447123,-1.0101010101010104,4.986130476540129
6,0.03733205795288086,0.6436257362365723,1.4401669758812545,-1.3666072489601895,5.027983134070122
7,0.03870344161987305,0.7444067001342773,1.4401669758812545,0.2970885323826504,7.122533771135505
8,0.04904675483703613,0.8798098564147949,17.13589981447123,1.2477718360071322,4.915864385411654
9,0.04266619682312012,1.0054965019226074,17.13589981447123,1.1289364230540713,4.899618400258734
