Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.0870468616485596,2.1367619037628174,17.13589981447123,1.3666072489601895,5.74630772546833
1,2.6043708324432373,4.791364431381226,17.13589981447123,1.3666072489601895,5.73305243612624
2,2.78401517868042,7.626817226409912,17.13589981447123,1.3666072489601895,5.7211704459802615
3,2.2770118713378906,9.957687616348267,17.13589981447123,1.3666072489601895,5.7402458566528995
4,2.572239637374878,12.59380030632019,17.13589981447123,1.1289364230540713,5.605509237555225
5,2.654141664505005,15.332358837127686,,,
6,2.5295796394348145,17.933263301849365,17.13589981447123,1.2477718360071322,5.636651102031925
7,2.3992459774017334,20.415449380874634,0.43831168831167133,0.6535947712418313,5.923623070017094
8,2.60558819770813,23.07508420944214,17.13589981447123,1.2477718360071322,5.526407566614872
9,2.4563798904418945,25.64049506187439,17.13589981447123,1.1289364230540713,5.563955549054242
